,index,song,artist
313,5166,Addictions (Feat. Tre' Amani),Brent Faiyaz
314,10465,Goodbye,Echosmith
315,10578,182  Kings Of The Weekend,Blink
316,8275,Skrt Skrt,Tory Lanez
317,7361,"Woman, Amen",Dierks Bentley
318,8832,Sinister,Cordae
319,6646,So What,Bts
320,8298,Little Toy Guns,Carrie Underwood
321,6342,Misunderstood,Pnb Rock
322,10942,The Fool,Ryn Weaver
323,3744,Tu Sabes Que Te Quiero,Chucho Flash
324,3664,I Just Can'T,R3Hab
325,2258,X,Lil Uzi Vert
326,1045,Hot Girl Summer,Megan Thee Stallion
327,47,Redbone,Childish Gambino
328,4912,Hope  More,J
329,3433,Sunset,Dreamville
330,5594,Jackboys,Jackboys
331,5437,Nevada,Youngboy Never Broke Again
332,3013,Enemies,Lauv
333,4301,Costa Rica,Bankrol Hayden
334,4238,Satish,Tee Grizzley
335,1869,Night Changes,One Direction
336,1490,Walk,Comethazine
337,6259,Feel Me,Tyga
338,4350,Heavy,Nigo
339,842,Santa Claus Is Coming To Town,The Jackson 5
340,1946,Scholarships,Drake
341,6656,Cigarette,Lil Uzi Vert
342,9924,I Feel Love,Sam Smith
343,10981,Shake It Out,Florence + The Machine
344,4274,Super Mario World,Logic
345,1416,Big Gangsta,Kevin Gates
346,3914,Get Well Soon,Ariana Grande
347,2296,Enséñame A Bailar,Bad Bunny
348,6864,Buy A Heart,Nicki Minaj
349,8242,Brown Boy,Nav
350,2686,Dark Knight Dummo,Trippie Redd
351,4461,Frank'S Track,Kanye West
352,10937,Don'T Stop The Music,Rihanna
353,9890,Laser Lights,Rex Orange County
354,9085,Heat Lightning,Mitski
355,4140,Big Time,Dj Khaled
356,2437,All To Myself,Dan + Shay
357,6622,Sorry For The Delay,$Uicideboy$
358,2018,Sleigh Ride,Ella Fitzgerald
359,116,Zeze,Kodak Black
360,7500,Harambe,Young Thug
361,11053,Daffodils,Mark Ronson
362,2968,Me Rehúso,Danny Ocean
363,8834,American Sports,Arctic Monkeys
364,5238,Og Beeper,A$Ap Rocky
365,3858,Ok Ok Pt 2,Kanye West
366,4519,On Me (Remix),Lil Baby
367,7702,What U Sayin',Lil Pump
368,7976,Summer,The Carters
369,2080,Do I Make You Wanna,Billy Currington
370,7026,Charmander,Aminé
371,9504,You'Ll Understand When You'Re Older,Lovejoy
372,2792,Hear Me Now,Alok
373,3595,Summers Over Interlude,Drake
374,1681,Still Goin Down,Morgan Wallen
375,6067,Everything,Nas
376,443,Lust,Lil Skies
377,6684,Reborn To Rebel,Ski Mask The Slump God
378,2578,I Wonder,Kanye West
379,5146,Colombia Heights (Te Llamo),Wale
380,3147,Star67,Drake
381,10822,Award Tour,A Tribe Called Quest
382,7443,Brooklyn Bridge To Chorus,The Strokes
383,2942,Bo$$,Fifth Harmony
384,9551,Negro,J Balvin
385,7044,Jingle Bell Rock (Glee Cast Version),Glee Cast
386,2371,Back To Sleep,Chris Brown
387,7927,Candy,Rosalía
388,6712,Buckets,Rae Sremmurd
389,8617,Learn To Fly,Surfaces
390,6239,Black Summer,Red Hot Chili Peppers
391,5299,Early 20 Rager,Lil Uzi Vert
392,7995,Got It,Marian Hill
393,2376,Who? What!,Travis Scott
394,9720,Forget It,$Uicideboy$
395,10846,Terrence Loves You,Lana Del Rey
396,3212,Hands On,Kanye West
397,5943,Real Feel,Trippie Redd
398,2922,Get Up 10,Cardi B
399,64,Say You Won'T Let Go,James Arthur
400,4369,Only Wanna Be With You  Pokémon 25 Version,Post Malone
401,10773,Something To Believe In,Young The Giant
402,2731,Thought I Was Playing,Gunna
403,5655,Salem'S Interlude,Khalid
404,6418,Higher Higher,Justin Timberlake
405,10348,Monopoly,Dj Diddy
406,10122,Gone,Bazzi
407,10554,Bite,Troye Sivan
408,140,Whats Poppin,Jack Harlow
409,8079,F Cancer (Boosie),Young Thug
410,8605,Too Young,Post Malone
411,8914,Fallin',Why Don'T We
412,2618,Scoop,Lil Nas X
