danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.652,0.453,1,-6.119,1,0.0445,0.0507,0.0,0.179,0.432,88.039,audio_features,7DHApOHsIFo7EyfieArYGE,spotify:track:7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/tracks/7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/audio-analysis/7DHApOHsIFo7EyfieArYGE,177391,3
0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,audio_features,0r7CVbZTWZgbTCYdfa2P31,spotify:track:0r7CVbZTWZgbTCYdfa2P31,https://api.spotify.com/v1/tracks/0r7CVbZTWZgbTCYdfa2P31,https://api.spotify.com/v1/audio-analysis/0r7CVbZTWZgbTCYdfa2P31,162600,4
0.306,0.982,3,-2.822,1,0.0828,2.78e-05,0.000386,0.0325,0.893,191.838,audio_features,0CXOYEN8m6MuyVY0F1vJTb,spotify:track:0CXOYEN8m6MuyVY0F1vJTb,https://api.spotify.com/v1/tracks/0CXOYEN8m6MuyVY0F1vJTb,https://api.spotify.com/v1/audio-analysis/0CXOYEN8m6MuyVY0F1vJTb,135400,4
0.607,0.803,7,-4.869,1,0.209,0.0246,0.0,0.145,0.735,171.853,audio_features,16PzFdFCDDuYwGveT1OD0S,spotify:track:16PzFdFCDDuYwGveT1OD0S,https://api.spotify.com/v1/tracks/16PzFdFCDDuYwGveT1OD0S,https://api.spotify.com/v1/audio-analysis/16PzFdFCDDuYwGveT1OD0S,188000,4
0.609,0.944,11,-2.503,1,0.254,0.0963,1.26e-05,0.222,0.533,125.121,audio_features,1ry2mTVmAJHbNLzl5qww5v,spotify:track:1ry2mTVmAJHbNLzl5qww5v,https://api.spotify.com/v1/tracks/1ry2mTVmAJHbNLzl5qww5v,https://api.spotify.com/v1/audio-analysis/1ry2mTVmAJHbNLzl5qww5v,198001,4
0.575,0.424,7,-15.154,0,0.041,0.00155,0.764,0.229,0.263,86.029,audio_features,292Pu3mzFII48Y42LDUOQN,spotify:track:292Pu3mzFII48Y42LDUOQN,https://api.spotify.com/v1/tracks/292Pu3mzFII48Y42LDUOQN,https://api.spotify.com/v1/audio-analysis/292Pu3mzFII48Y42LDUOQN,184893,4
0.322,0.0616,0,-25.537,1,0.0591,0.988,0.892,0.0959,0.0673,75.126,audio_features,4rnDozS1QYWg75rHgbRizC,spotify:track:4rnDozS1QYWg75rHgbRizC,https://api.spotify.com/v1/tracks/4rnDozS1QYWg75rHgbRizC,https://api.spotify.com/v1/audio-analysis/4rnDozS1QYWg75rHgbRizC,280899,4
0.841,0.695,4,-5.202,0,0.0531,0.204,0.00101,0.0947,0.0819,100.98,audio_features,46YJTgnN02ATLwBGZxEV2H,spotify:track:46YJTgnN02ATLwBGZxEV2H,https://api.spotify.com/v1/tracks/46YJTgnN02ATLwBGZxEV2H,https://api.spotify.com/v1/audio-analysis/46YJTgnN02ATLwBGZxEV2H,256341,4
0.264,0.191,10,-13.229,1,0.0349,0.967,1.68e-05,0.705,0.319,145.973,audio_features,7lZvsvuFzTsGRVq4jA4I7S,spotify:track:7lZvsvuFzTsGRVq4jA4I7S,https://api.spotify.com/v1/tracks/7lZvsvuFzTsGRVq4jA4I7S,https://api.spotify.com/v1/audio-analysis/7lZvsvuFzTsGRVq4jA4I7S,81452,1
0.36,0.333,7,-8.491,1,0.0285,0.335,1.09e-06,0.114,0.17,74.53,audio_features,1B17jo7XD3lJ9AtrdE9kUd,spotify:track:1B17jo7XD3lJ9AtrdE9kUd,https://api.spotify.com/v1/tracks/1B17jo7XD3lJ9AtrdE9kUd,https://api.spotify.com/v1/audio-analysis/1B17jo7XD3lJ9AtrdE9kUd,262053,1
0.526,0.456,3,-10.564,0,0.255,0.413,3e-06,0.118,0.372,179.995,audio_features,6cEYrk6uKPT9a0XOYyHZBR,spotify:track:6cEYrk6uKPT9a0XOYyHZBR,https://api.spotify.com/v1/tracks/6cEYrk6uKPT9a0XOYyHZBR,https://api.spotify.com/v1/audio-analysis/6cEYrk6uKPT9a0XOYyHZBR,146508,3
0.379,0.954,5,-4.017,1,0.0397,0.0019,0.0461,0.406,0.0355,166.953,audio_features,5wdfChkiHiXQZkE5TcUClw,spotify:track:5wdfChkiHiXQZkE5TcUClw,https://api.spotify.com/v1/tracks/5wdfChkiHiXQZkE5TcUClw,https://api.spotify.com/v1/audio-analysis/5wdfChkiHiXQZkE5TcUClw,269533,4
0.445,0.179,1,-12.938,1,0.0396,0.952,0.00056,0.107,0.119,72.246,audio_features,4KlL5Bwlm4yHYxr0B2rHci,spotify:track:4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/tracks/4KlL5Bwlm4yHYxr0B2rHci,https://api.spotify.com/v1/audio-analysis/4KlL5Bwlm4yHYxr0B2rHci,193080,4
0.542,0.783,1,-5.642,0,0.0439,0.044,5.48e-05,0.936,0.648,178.143,audio_features,2QKUYjiHrty11WHAcxNlH1,spotify:track:2QKUYjiHrty11WHAcxNlH1,https://api.spotify.com/v1/tracks/2QKUYjiHrty11WHAcxNlH1,https://api.spotify.com/v1/audio-analysis/2QKUYjiHrty11WHAcxNlH1,131403,4
0.822,0.529,9,-10.723,0,0.0388,0.374,0.94,0.0729,0.562,117.981,audio_features,6jNjthiaI33YJq9xq0nwP7,spotify:track:6jNjthiaI33YJq9xq0nwP7,https://api.spotify.com/v1/tracks/6jNjthiaI33YJq9xq0nwP7,https://api.spotify.com/v1/audio-analysis/6jNjthiaI33YJq9xq0nwP7,244712,4
0.788,0.842,4,-4.006,0,0.142,0.121,0.00112,0.166,0.481,190.077,audio_features,0RRm4OS5ymfZryXBuj0G2m,spotify:track:0RRm4OS5ymfZryXBuj0G2m,https://api.spotify.com/v1/tracks/0RRm4OS5ymfZryXBuj0G2m,https://api.spotify.com/v1/audio-analysis/0RRm4OS5ymfZryXBuj0G2m,166476,4
0.591,0.184,5,-8.838,0,0.0345,0.306,0.751,0.0694,0.65,89.602,audio_features,3IyVM3errxpkl61m4pmbwz,spotify:track:3IyVM3errxpkl61m4pmbwz,https://api.spotify.com/v1/tracks/3IyVM3errxpkl61m4pmbwz,https://api.spotify.com/v1/audio-analysis/3IyVM3errxpkl61m4pmbwz,161623,4
0.603,0.728,11,-4.491,0,0.363,0.0745,0.0,0.192,0.514,140.019,audio_features,6XMzF60xSPJBTy3E3Yripk,spotify:track:6XMzF60xSPJBTy3E3Yripk,https://api.spotify.com/v1/tracks/6XMzF60xSPJBTy3E3Yripk,https://api.spotify.com/v1/audio-analysis/6XMzF60xSPJBTy3E3Yripk,168186,4
