danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.702,0.798,9,-7.205,0,0.0358,0.00451,0.835,0.34,0.0977,116.005,audio_features,7MxjKoJgKIxZ0f2gCQBW6W,spotify:track:7MxjKoJgKIxZ0f2gCQBW6W,https://api.spotify.com/v1/tracks/7MxjKoJgKIxZ0f2gCQBW6W,https://api.spotify.com/v1/audio-analysis/7MxjKoJgKIxZ0f2gCQBW6W,185219,4
0.859,0.461,1,-8.033,1,0.404,0.074,0.0,0.111,0.337,83.992,audio_features,6excfi52hCKksRlRt55VH2,spotify:track:6excfi52hCKksRlRt55VH2,https://api.spotify.com/v1/tracks/6excfi52hCKksRlRt55VH2,https://api.spotify.com/v1/audio-analysis/6excfi52hCKksRlRt55VH2,127232,4
0.397,0.946,0,-9.754,1,0.0331,0.075,1.14e-06,0.89,0.953,154.222,audio_features,3JBreLq6ooM8qydZXAIdQx,spotify:track:3JBreLq6ooM8qydZXAIdQx,https://api.spotify.com/v1/tracks/3JBreLq6ooM8qydZXAIdQx,https://api.spotify.com/v1/audio-analysis/3JBreLq6ooM8qydZXAIdQx,162667,4
0.822,0.35,1,-12.207,0,0.574,0.0213,0.0,0.0757,0.346,77.528,audio_features,3UnYMo1aeD0o8VtHy3R8cs,spotify:track:3UnYMo1aeD0o8VtHy3R8cs,https://api.spotify.com/v1/tracks/3UnYMo1aeD0o8VtHy3R8cs,https://api.spotify.com/v1/audio-analysis/3UnYMo1aeD0o8VtHy3R8cs,186000,4
0.846,0.821,3,-8.926,0,0.172,0.0509,0.183,0.106,0.548,110.989,audio_features,1ryWdSTZQIrBOp5Bm9UWZt,spotify:track:1ryWdSTZQIrBOp5Bm9UWZt,https://api.spotify.com/v1/tracks/1ryWdSTZQIrBOp5Bm9UWZt,https://api.spotify.com/v1/audio-analysis/1ryWdSTZQIrBOp5Bm9UWZt,129730,4
0.776,0.624,5,-9.024,0,0.337,0.247,0.0,0.124,0.462,146.076,audio_features,644ysZyhy3ayBapeJxy01j,spotify:track:644ysZyhy3ayBapeJxy01j,https://api.spotify.com/v1/tracks/644ysZyhy3ayBapeJxy01j,https://api.spotify.com/v1/audio-analysis/644ysZyhy3ayBapeJxy01j,148715,4
0.869,0.492,5,-5.865,1,0.0752,0.125,0.0,0.132,0.766,102.002,audio_features,7F7gPb5h3CMqcS1SIZvqkY,spotify:track:7F7gPb5h3CMqcS1SIZvqkY,https://api.spotify.com/v1/tracks/7F7gPb5h3CMqcS1SIZvqkY,https://api.spotify.com/v1/audio-analysis/7F7gPb5h3CMqcS1SIZvqkY,191227,4
0.726,0.565,2,-6.084,1,0.0822,0.0277,0.0,0.0971,0.393,137.003,audio_features,5Ij8tiMdJtOTuBvYFSPQ2w,spotify:track:5Ij8tiMdJtOTuBvYFSPQ2w,https://api.spotify.com/v1/tracks/5Ij8tiMdJtOTuBvYFSPQ2w,https://api.spotify.com/v1/audio-analysis/5Ij8tiMdJtOTuBvYFSPQ2w,202959,4
0.661,0.806,5,-6.194,0,0.437,0.0163,0.0,0.117,0.475,121.216,audio_features,08V9Lvq19LbR3IlgL2AYXv,spotify:track:08V9Lvq19LbR3IlgL2AYXv,https://api.spotify.com/v1/tracks/08V9Lvq19LbR3IlgL2AYXv,https://api.spotify.com/v1/audio-analysis/08V9Lvq19LbR3IlgL2AYXv,207022,4
0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,audio_features,5sBplhIrmzA4kQGyIOpmDf,spotify:track:5sBplhIrmzA4kQGyIOpmDf,https://api.spotify.com/v1/tracks/5sBplhIrmzA4kQGyIOpmDf,https://api.spotify.com/v1/audio-analysis/5sBplhIrmzA4kQGyIOpmDf,181496,4
