title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2xOBiq7NMvSBqlDQjVvOek,0.751,0.351,5,-9.674,0,0.0497,0.0266,0.902,0.136,0.431,116.694,audio_features,2xOBiq7NMvSBqlDQjVvOek,spotify:track:2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/tracks/2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/audio-analysis/2xOBiq7NMvSBqlDQjVvOek,182667,4
Calm Down,Rema & Selena Gomez,6BRtWlr1VmsiPjIFnvg9Qv,0.708,0.475,1,-6.402,0,0.0403,0.229,1.17e-05,0.0465,0.162,124.846,audio_features,6BRtWlr1VmsiPjIFnvg9Qv,spotify:track:6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/tracks/6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/audio-analysis/6BRtWlr1VmsiPjIFnvg9Qv,190078,4
Last Night,Morgan Wallen,5gfPJ45gpn3ThswDyeW0Qc,0.888,0.833,3,-4.381,0,0.0912,0.256,0.00159,0.485,0.962,121.002,audio_features,5gfPJ45gpn3ThswDyeW0Qc,spotify:track:5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/tracks/5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/audio-analysis/5gfPJ45gpn3ThswDyeW0Qc,388226,4
Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,audio_features,6VhuP99TE6gYNQRJIlAWFD,spotify:track:6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667,3
Wait In The Truck,HARDY Featuring Lainey Wilson,7vsjRWuOxWYa20jZbtMqu0,0.515,0.189,6,-21.907,1,0.0379,0.475,0.897,0.112,0.0657,70.299,audio_features,7vsjRWuOxWYa20jZbtMqu0,spotify:track:7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/tracks/7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/audio-analysis/7vsjRWuOxWYa20jZbtMqu0,278334,4
The Kind Of Love We Make,Luke Combs,78Tn2vzu5tAClU4b3I58ME,0.507,0.499,1,-10.771,1,0.028,0.0244,0.912,0.104,0.563,204.008,audio_features,78Tn2vzu5tAClU4b3I58ME,spotify:track:78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/tracks/78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/audio-analysis/78Tn2vzu5tAClU4b3I58ME,223246,4
I Like You (A Happier Song),Post Malone Featuring Doja Cat,6f7BE3VcZScJx6n3wsf5Z3,0.48,0.526,5,-7.099,1,0.275,0.071,0.0,0.0879,0.374,199.662,audio_features,6f7BE3VcZScJx6n3wsf5Z3,spotify:track:6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/tracks/6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/audio-analysis/6f7BE3VcZScJx6n3wsf5Z3,267733,3
Shirt,SZA,4NLBrPnLcOgyoOUFmRsDbt,0.831,0.5,3,-7.941,0,0.0965,0.24,0.00682,0.0898,0.532,120.013,audio_features,4NLBrPnLcOgyoOUFmRsDbt,spotify:track:4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/tracks/4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/audio-analysis/4NLBrPnLcOgyoOUFmRsDbt,181840,4
Heart Like A Truck,Lainey Wilson,3YaTU6ysrQHdpocY4PExjB,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,audio_features,3YaTU6ysrQHdpocY4PExjB,spotify:track:3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/tracks/3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/audio-analysis/3YaTU6ysrQHdpocY4PExjB,199040,4
Wait For U,Future Featuring Drake & Tems,4du1sHf5pUhdEEwqtmOAi2,0.652,0.243,1,-11.868,1,0.034,0.946,0.034,0.11,0.193,136.007,audio_features,4du1sHf5pUhdEEwqtmOAi2,spotify:track:4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/tracks/4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/audio-analysis/4du1sHf5pUhdEEwqtmOAi2,193936,4
Snooze,SZA,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
Sure Thing,Miguel,4VCbKkAKlEQrGJ4yO9SsSS,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,4VCbKkAKlEQrGJ4yO9SsSS,spotify:track:4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/tracks/4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/audio-analysis/4VCbKkAKlEQrGJ4yO9SsSS,195373,4
Bebe Dame,Fuerza Regida X Grupo Frontera,5x3RvunGAJ3Ws7r5yhFKeB,0.651,0.423,7,-11.99,1,0.0494,0.057,0.0,0.186,0.782,143.894,audio_features,5x3RvunGAJ3Ws7r5yhFKeB,spotify:track:5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/tracks/5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/audio-analysis/5x3RvunGAJ3Ws7r5yhFKeB,187929,4
Players,Coi Leray,10RmUrJ28kkj7XgekcfZpc,0.952,0.507,6,-5.742,0,0.168,0.038,3.29e-05,0.0511,0.609,104.981,audio_features,10RmUrJ28kkj7XgekcfZpc,spotify:track:10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/tracks/10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/audio-analysis/10RmUrJ28kkj7XgekcfZpc,139560,4
Tomorrow 2,GloRilla & Cardi B,2RkyV0KXNLstEKn2qb1KZ6,0.638,0.736,0,-5.13,1,0.537,0.0655,0.0,0.0883,0.785,159.852,audio_features,2RkyV0KXNLstEKn2qb1KZ6,spotify:track:2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/tracks/2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/audio-analysis/2RkyV0KXNLstEKn2qb1KZ6,113845,4
Love Again,The Kid LAROI,6ncsVXsY8FaxpK5yg1eMHI,0.643,0.417,4,-10.155,1,0.186,0.809,0.0147,0.168,0.355,94.435,audio_features,6ncsVXsY8FaxpK5yg1eMHI,spotify:track:6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/tracks/6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/audio-analysis/6ncsVXsY8FaxpK5yg1eMHI,89340,4
She Had Me At Heads Carolina,Cole Swindell,143NxyffZRHXdVD1MaO5u3,0.65,0.67,8,-3.047,1,0.0308,0.774,0.0,0.0966,0.655,132.984,audio_features,143NxyffZRHXdVD1MaO5u3,spotify:track:143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/tracks/143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/audio-analysis/143NxyffZRHXdVD1MaO5u3,196307,4
Dawns,Zach Bryan Featuring Maggie Rogers,4soHgvFd9yGVrzTe9TROWl,0.727,0.164,6,-17.936,1,0.928,0.762,0.0,0.108,0.297,118.57,audio_features,4soHgvFd9yGVrzTe9TROWl,spotify:track:4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/tracks/4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/audio-analysis/4soHgvFd9yGVrzTe9TROWl,246733,3
Whiskey On You,Nate Smith,32ftcUIP8p7zmZT5vLBfy1,0.604,0.537,8,-10.459,1,0.0282,0.000729,0.85,0.0878,0.608,109.976,audio_features,32ftcUIP8p7zmZT5vLBfy1,spotify:track:32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/tracks/32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/audio-analysis/32ftcUIP8p7zmZT5vLBfy1,185477,4
Super Freaky Girl,Nicki Minaj,4dFKEyGrwmIimMqwYleFOR,0.88,0.777,2,-4.465,1,0.256,0.102,0.0,0.37,0.88,132.982,audio_features,4dFKEyGrwmIimMqwYleFOR,spotify:track:4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/tracks/4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/audio-analysis/4dFKEyGrwmIimMqwYleFOR,234900,4
Nobody Gets Me,SZA,0njT9NV9xsV4hLkgZ8yOUD,0.613,0.665,1,-6.438,1,0.089,0.233,0.00025,0.0618,0.595,143.856,audio_features,0njT9NV9xsV4hLkgZ8yOUD,spotify:track:0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/tracks/0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/audio-analysis/0njT9NV9xsV4hLkgZ8yOUD,369160,4
Unstoppable,Sia,4W7uMjg5a9ZqgNZzpY6ekk,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,4W7uMjg5a9ZqgNZzpY6ekk,spotify:track:4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/tracks/4W7uMjg5a9ZqgNZzpY6ekk,https://api.spotify.com/v1/audio-analysis/4W7uMjg5a9ZqgNZzpY6ekk,217747,4
What My World Spins Around,Jordan Davis,0LaZ4n2gyWeO4kFtzpHQ5M,0.661,0.885,4,-4.25,1,0.0348,0.128,0.0,0.315,0.848,103.976,audio_features,0LaZ4n2gyWeO4kFtzpHQ5M,spotify:track:0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/tracks/0LaZ4n2gyWeO4kFtzpHQ5M,https://api.spotify.com/v1/audio-analysis/0LaZ4n2gyWeO4kFtzpHQ5M,161553,4
Sunroof,Nicky Youre & dazy,7djmGGWiUoMu9YmWEHrELO,0.815,0.661,10,-5.056,1,0.0372,0.176,0.0,0.103,0.651,131.474,audio_features,7djmGGWiUoMu9YmWEHrELO,spotify:track:7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/tracks/7djmGGWiUoMu9YmWEHrELO,https://api.spotify.com/v1/audio-analysis/7djmGGWiUoMu9YmWEHrELO,169654,4
I Ain't Worried,OneRepublic,73PAbYaVbnFG0tQ4aBfxeN,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,73PAbYaVbnFG0tQ4aBfxeN,spotify:track:73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/tracks/73PAbYaVbnFG0tQ4aBfxeN,https://api.spotify.com/v1/audio-analysis/73PAbYaVbnFG0tQ4aBfxeN,148486,4
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,57IdGqRTGESDyidR9uUSOB,spotify:track:57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/tracks/57IdGqRTGESDyidR9uUSOB,https://api.spotify.com/v1/audio-analysis/57IdGqRTGESDyidR9uUSOB,191822,4
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6,0.345,0.251,9,-14.902,1,0.0406,0.822,0.0993,0.0925,0.143,177.891,audio_features,1Jb0BvBueT6TBcZKIRWoJ6,spotify:track:1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/tracks/1Jb0BvBueT6TBcZKIRWoJ6,https://api.spotify.com/v1/audio-analysis/1Jb0BvBueT6TBcZKIRWoJ6,195515,4
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7,0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,140.92,audio_features,4NfwBgmzmzx8WpyIy9C6p7,spotify:track:4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/tracks/4NfwBgmzmzx8WpyIy9C6p7,https://api.spotify.com/v1/audio-analysis/4NfwBgmzmzx8WpyIy9C6p7,391467,4
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT,0.667,0.678,10,-7.74,0,0.032,0.0332,0.0,0.163,0.539,129.31,audio_features,1QnWNMc9ZSTLuAwhXzTYQT,spotify:track:1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/tracks/1QnWNMc9ZSTLuAwhXzTYQT,https://api.spotify.com/v1/audio-analysis/1QnWNMc9ZSTLuAwhXzTYQT,129849,4
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F,0.504,0.513,0,-7.48,1,0.0277,0.129,0.0,0.685,0.0941,112.984,audio_features,4VWVupm8eU3Njc7YIQHs0F,spotify:track:4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/tracks/4VWVupm8eU3Njc7YIQHs0F,https://api.spotify.com/v1/audio-analysis/4VWVupm8eU3Njc7YIQHs0F,373267,4
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN,0.159,0.137,0,-15.02,1,0.0369,0.603,0.918,0.108,0.0399,138.581,audio_features,6TQrhZOWTPmG1mESeDRyEN,spotify:track:6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/tracks/6TQrhZOWTPmG1mESeDRyEN,https://api.spotify.com/v1/audio-analysis/6TQrhZOWTPmG1mESeDRyEN,224520,4
Bloody Mary,Lady Gaga,30c0cwPpyru7GjzKLJ51jM,0.794,0.522,9,-9.259,0,0.0316,0.0341,0.819,0.101,0.472,100.0,audio_features,30c0cwPpyru7GjzKLJ51jM,spotify:track:30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/tracks/30c0cwPpyru7GjzKLJ51jM,https://api.spotify.com/v1/audio-analysis/30c0cwPpyru7GjzKLJ51jM,245133,4
What He Didn't Do,Carly Pearce,79ZBn845qsMjNPFKtuKEsF,0.523,0.723,9,-5.425,1,0.0436,0.112,0.0,0.61,0.276,137.748,audio_features,79ZBn845qsMjNPFKtuKEsF,spotify:track:79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/tracks/79ZBn845qsMjNPFKtuKEsF,https://api.spotify.com/v1/audio-analysis/79ZBn845qsMjNPFKtuKEsF,194800,4
I Wrote The Book,Morgan Wallen,4vztnwssrON2PJAXtVf4An,0.716,0.414,9,-12.081,0,0.0618,0.538,1.04e-05,0.107,0.442,120.006,audio_features,4vztnwssrON2PJAXtVf4An,spotify:track:4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/tracks/4vztnwssrON2PJAXtVf4An,https://api.spotify.com/v1/audio-analysis/4vztnwssrON2PJAXtVf4An,184831,4
Freestyle,Lil Baby,01JMnRUs2YOK6DDpdQASGY,0.817,0.513,10,-6.263,0,0.394,0.38,0.0,0.109,0.177,123.029,audio_features,01JMnRUs2YOK6DDpdQASGY,spotify:track:01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/tracks/01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/audio-analysis/01JMnRUs2YOK6DDpdQASGY,203438,4
Handle On You,Parker McCollum,6P7aZG4PRvErVyxtHIBts5,0.449,0.733,0,-3.583,1,0.0266,0.00455,6.81e-06,0.0996,0.433,142.499,audio_features,6P7aZG4PRvErVyxtHIBts5,spotify:track:6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/tracks/6P7aZG4PRvErVyxtHIBts5,https://api.spotify.com/v1/audio-analysis/6P7aZG4PRvErVyxtHIBts5,194973,4
Everything I Love,Morgan Wallen,6KVuoJUrhbVgMrqZX5T7Kg,0.844,0.77,0,-8.629,1,0.0787,0.0422,1.38e-06,0.197,0.723,137.033,audio_features,6KVuoJUrhbVgMrqZX5T7Kg,spotify:track:6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/tracks/6KVuoJUrhbVgMrqZX5T7Kg,https://api.spotify.com/v1/audio-analysis/6KVuoJUrhbVgMrqZX5T7Kg,245440,4
Wild As Her,Corey Kent,0IXdyGzVO91HrnNXW6P5TT,0.565,0.851,9,-5.601,1,0.0319,0.00141,0.0,0.345,0.372,124.956,audio_features,0IXdyGzVO91HrnNXW6P5TT,spotify:track:0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/tracks/0IXdyGzVO91HrnNXW6P5TT,https://api.spotify.com/v1/audio-analysis/0IXdyGzVO91HrnNXW6P5TT,204040,4
